,Loyalty_Number,Year,Month,Flights_Booked,Flights_with_Companions,Total_Flights,Distance,Points_Accumulated,Points_Redeemed,Dollar_Cost_Points_Redeemed,Province,City,Postal_Code,Gender,Education,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Year,Enrollment_Month,Salary
23,100018,2018,12,17,6,23,4945,494.0,0,0,Alberta,Edmonton,T9G 1W3,Female,Bachelor,Married,Aurora,7919.2,Standard,2016,8,92552
47,100102,2018,12,14,0,14,2436,243.0,0,0,Ontario,Toronto,M1R 4K3,Male,College,Single,Nova,2887.74,Standard,2013,3,79381
71,100140,2018,12,0,0,0,0,0.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Female,College,Divorced,Nova,2838.07,Standard,2016,7,79381
95,100214,2018,12,10,0,10,3590,359.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,Married,Star,4170.57,Standard,2015,8,63253
119,100272,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P1L 8X8,Female,Bachelor,Divorced,Star,6622.05,Standard,2014,1,91163
143,100301,2018,12,11,5,16,1184,118.0,0,0,Ontario,Toronto,P1J 8T7,Male,Bachelor,Divorced,Nova,48356.96,Standard,2013,9,70323
167,100364,2017,4,12,6,18,1170,117.0,559,45,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,Married,Nova,5143.88,Standard,2015,5,76849
191,100380,2018,12,14,6,20,2720,272.0,0,0,Quebec,Montreal,H2T 9K8,Female,Bachelor,Single,Star,2465.62,Standard,2012,10,69695
215,100428,2018,12,11,3,14,2198,219.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Married,Aurora,5845.43,Standard,2012,8,63478
239,100504,2018,12,0,0,0,0,0.0,0,0,Ontario,Sudbury,M5V 1G5,Female,Bachelor,Divorced,Nova,8807.61,Standard,2017,7,75638
263,100550,2018,8,2,2,4,348,34.0,683,55,Quebec,Montreal,H2Y 4R4,Female,Bachelor,Married,Nova,7861.8,Standard,2013,2,54133
287,863070,2018,12,4,3,7,1687,168.0,0,0,Ontario,Toronto,M8Y 4K8,Male,Bachelor,Divorced,Nova,32871.75,Standard,2013,2,89340
311,100590,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,Married,Star,34090.04,2018 Promotion,2018,3,69841
335,100642,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Female,Bachelor,Married,Nova,4892.63,Standard,2012,5,51667
359,100644,2017,5,7,3,10,750,75.0,365,30,Alberta,Peace River,T9O 2W2,Female,Master,Divorced,Star,4458.11,Standard,2015,7,94440
383,100646,2018,12,0,0,0,0,0.0,0,0,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,Married,Star,2471.53,Standard,2015,10,101933
407,100727,2018,12,7,0,7,2331,233.0,0,0,Quebec,Tremblant,H5Y 2S9,Male,Master,Married,Nova,3873.65,Standard,2014,3,128118
431,100737,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,College,Single,Star,12786.67,Standard,2017,4,79381
455,100753,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Male,Bachelor,Divorced,Star,2534.31,Standard,2015,10,47717
479,100816,2018,12,8,0,8,2984,298.0,0,0,Ontario,Ottawa,K1F 2R2,Female,Master,Divorced,Aurora,6273.91,Standard,2013,3,97497
503,100853,2018,12,0,0,0,0,0.0,0,0,Ontario,Trenton,K8V 4B2,Male,College,Married,Star,10153.89,Standard,2016,1,79381
527,100883,2018,12,11,1,12,1728,172.0,0,0,Manitoba,Winnipeg,R3R 3T4,Female,College,Single,Star,3561.04,Standard,2013,6,79381
551,100890,2017,11,5,5,10,730,73.0,341,28,Ontario,Toronto,P1W 1K4,Female,College,Divorced,Nova,8007.4,Standard,2014,8,79381
